ORDEMBD,REFERENCE,STUDY_AIM,DATA_TYPE,SPECIES,GENUS,FAMILY,ORDER,IUCN_STATUS,SP_ORIGIN,SITE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LONG_X,LAT_Y,PRECISION,UC,VEG_TYPE,Annual_rainfall,Annual_temperature,Altitude,Olsoneconame,OlsonG200r,METHOD,N_POINTS,D_POINTS,LTR_EFF,LTR_ABD_10KM,CAM_EFF,CAM_ABD,SURV_EFF,SURV_ABD,COL_STRT_YR,COL_STRT_MO,COL_END_YR,COL_END_MO
MOEC_00296,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113251,-19.584307, 10m,NA,Gallery/riparian/Swamp vegetation,1342,27.60000038,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00297,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113251,-19.584307, 10m,NA,Gallery/riparian/Swamp vegetation,1342,27.60000038,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00298,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113251,-19.584307, 10m,NA,Gallery/riparian/Swamp vegetation,1342,27.60000038,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00299,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113251,-19.584307, 10m,NA,Gallery/riparian/Swamp vegetation,1342,27.60000038,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,1,NA,NA,2012,March,2017,September
MOEC_00300,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113251,-19.584307, 10m,NA,Gallery/riparian/Swamp vegetation,1342,27.60000038,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00301,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113352,-19.57516, 10m,NA,Marsh/freshwater lake,1342,27.60000038,118,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,1,NA,NA,2012,March,2017,September
MOEC_00302,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113352,-19.57516, 10m,NA,Marsh/freshwater lake,1342,27.60000038,118,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,1,NA,NA,2012,March,2017,September
MOEC_00303,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113352,-19.57516, 10m,NA,Marsh/freshwater lake,1342,27.60000038,118,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00304,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113352,-19.57516, 10m,NA,Marsh/freshwater lake,1342,27.60000038,118,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00305,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113352,-19.57516, 10m,NA,Marsh/freshwater lake,1342,27.60000038,118,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,20,0,NA,NA,2012,March,2017,September
MOEC_00306,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.103899,-19.557019, 10m,NA,Grassland,1342,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,35,2,NA,NA,2012,March,2017,September
MOEC_00307,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.103899,-19.557019, 10m,NA,Grassland,1342,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,35,1,NA,NA,2012,March,2017,September
